"","species","duration","peak","peak2","peak3","trough","trough2","peakToPeak2","peakToPeak3","peak2ToPeak3","Q_10dB","Q_3dB","centerHz_10dB","centerHz_3dB","fmin_10dB","fmax_10dB","fmin_3dB","fmax_3dB","BW_10dB","BW_3dB","ici"
"71","Narwhal",53.36,53.36,59.17,54.38,56.89,54.72,18.73,16.7,22.29,2.29,11.08,60.15,54.63,38.53,81.77,48.55,60.71,43.24,12.16,0.14
"72","Narwhal",56.22,56.22,62.38,59.75,59.76,60.91,17.25,19.07,22.75,2.21,10.5,65.47,58.93,40.94,90.01,51.31,66.56,49.07,15.25,0.13
"73","Narwhal",54.51,54.51,59.14,54.27,56.8,55.05,18.97,17.56,24.71,3.05,19.02,58.9,55.91,40.39,77.42,51.08,60.75,37.03,9.67,0.12
"74","Narwhal",56.07,56.07,61.09,47.05,46.55,65.05,15.13,15.71,25.67,2.93,22.53,59.72,56.53,46,73.44,54.27,58.79,27.44,4.52,0.13
"75","Narwhal",48.15,48.15,50.02,50.22,45.7,52.05,15.3,15.57,22.6,5.46,17.79,47.18,46.74,33.47,60.89,44.53,48.95,27.41,4.41,0.09
"76","Narwhal",38.54,38.54,47.2,49.27,41.91,50.21,18.21,18.73,20.99,4.76,12.67,39.98,37.59,29.08,50.89,34.4,40.78,21.8,6.37,0.11
"77","Narwhal",57.02,57.02,55.73,65.24,62.16,57.36,16.67,18.53,26.8,5.01,20.5,55.87,55.19,43.9,67.85,49.54,60.84,23.96,11.29,0.31
"78","Narwhal",58.83,58.83,62.28,55.75,64.31,52.15,17.66,18.18,21.26,10.56,32.79,57.89,58.63,51.26,64.52,56.96,60.3,13.25,3.34,0.25
"79","Beluga",54.38,54.38,58.52,49.56,58.52,49.23,23.98,12.76,19.67,3.44,19.11,53.12,52.2,44.52,61.72,50.12,54.28,17.2,4.17,0
"80","Beluga",67.6,67.6,69.54,64.09,64.89,66.74,16.28,15.82,26.34,10.75,35.98,67.67,66.82,61.56,73.78,65.14,68.49,12.23,3.35,0.15
"81","Beluga",65.82,65.82,65.85,69.6,63.53,68.91,13.35,16.73,26.29,2.99,16.38,69.69,65.58,53.66,85.71,63.17,68,32.05,4.82,0.17
